index,x,y,z
6784,26.6089,-7.5446,-0.482768,
7473,29.5345,-13.5906,1.70385,
7584,30.0686,-14.7239,1.75462,
7459,30.4426,-13.8863,2.92739,
6658,31.2098,-7.89729,6.25777,
6373,32.8505,-6.04698,-2.92233,
6504,26.9656,-5.82033,2.41352,
6264,26.0099,-4.11491,2.30387,
6660,26.2235,-6.64531,6.24554,
5627,32.9945,-0.184278,-0.575929,
5495,32.9994,0.794962,0.576174,
4595,20.8751,4.91929,-2.63335,
5266,23.0011,1.80618,-2.01853,
4283,22.0423,7.25565,-2.84931,
4292,22.0587,7.18006,-2.84833,
4301,22.0798,7.1018,-2.84784,
5146,21.3892,2.2934,1.88204,
4836,22.342,3.96765,2.78618,
4507,28.26,7.2717,-2.55297,
5074,30.9992,3.84467,-2.73286,
4613,28.0706,6.49609,-1.51,
5230,32.4384,2.80376,1.70636,
6827,35.149,-10.3449,-1.92021,
6389,34.9941,-6.56162,-3.11495,
6211,37.017,-5.36061,-3.27235,
4583,37.1721,8.86935,-2.00279,
4933,39.2446,6.11046,-2.08151,
4949,39.1729,5.95932,-2.07659,
4877,34.0944,5.71769,1.81177,
4893,34.0087,5.57524,1.80611,
4832,36.3087,6.4741,1.93287,
5156,37.2923,3.88668,0.654465,
4938,38.061,5.85135,0.672162,
4778,46.5414,8.91193,-2.48345,
4630,47.0166,10.6905,-0.841625,
4216,46.0267,16.4528,2.56164,
3210,24.9808,18.9271,0.547063,
1820,17.6849,32.8993,3.26782,
2317,22.0925,30.8357,4.6576,
2392,22.8933,30.5798,6.05026,
2267,22.8884,32.9199,3.50784,
2255,21.8949,31.7029,4.73072,
2343,22.9865,31.6034,6.18949,
2490,23.6484,29.8368,4.67466,
2436,23.0603,29.9336,4.63957,
2450,23.4689,30.245,4.7005,
2452,24.1139,31.0651,6.22859,
3015,25.0398,22.1222,-2.9232,
2957,25.7913,23.7579,-3.06788,
3491,26.0823,17.1785,0.545143,
3216,25.125,19.0019,3.86789,
2562,25.445,30.7577,6.32246,
2532,26.0001,31.9247,3.60215,
2519,26.0125,32.1687,3.6194,
2547,25.523,31.0722,6.36876,
2743,30.1329,32.8152,5.47023,
1675,17.7621,35.9231,6.34717,
1626,17.7396,36.8602,5.02272,
1450,17.7782,40.9261,2.33848,
1514,17.0194,37.7288,3.62115,
1532,18.1574,39.8428,5.37614,
1793,20.0423,37.8853,5.26256,
2263,23.0554,33.1971,0.705496,
2265,23.0355,33.1437,2.11531,
2123,24.0297,37.5598,2.3368,
2002,22.8136,38.1792,5.46097,
2140,24.2009,37.495,5.47949,
1642,20.7204,42.6909,5.82657,
1300,18.3785,47.0655,6.20388,
1907,24.2812,42.9694,6.06007,
2346,29.1256,40.0145,-2.59377,
2327,27.687,38.4032,4.14199,
2434,29.4873,38.3039,4.22915,
2377,29.6124,39.8877,4.34628,
2183,27.2433,41.051,0.859985,
2098,26.0998,41.3977,6.00889,
3906,44.0468,21.4926,2.56854,
4081,45.8161,18.9121,2.59764,
4011,46.0712,20.5026,6.19169,
4028,46.2097,20.1885,6.19169,
2468,38.0062,48.5583,-3.23164,
2941,41.2957,38.4012,0.984316,
2925,42.4786,40.0578,1.01915,
3006,44.0085,38.9765,1.02613,
2986,44.9396,40.3361,1.05406,
2997,43.6983,38.9201,3.06678,
2981,43.9298,39.6658,5.17827,
3139,45.8056,36.7366,3.07725,
3064,47.1414,40.0213,1.0794,
2949,44.3464,41.1084,-3.16905,
2757,41.7881,45.127,-3.22327,
2881,48.8973,47.9005,-3.58732,
2971,45.6308,41.4917,5.39581,
6645,51.9485,-12.9811,-0.934646,
6408,63.0818,-12.102,-1.12118,
4764,54.9843,10.6879,-0.977719,
6114,66.074,-7.96074,-1.16167,
4109,52.1399,20.9073,0.980546,
